PERIOD_DT,COMPANY,LOB,METRIC,CHANNEL,SUB_CHANNEL,DTL_CHANNEL,REGION,LOB_SEGMENT,LOB_SUB_SEGMENT,TYPE,VOLUME
02JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,3
03JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,3
04JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,6
08JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
10JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
11JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,2
12JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,3
13JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,2
15JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,4
16JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,3
17JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,2
18JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
19JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
20JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
23JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,3
24JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
25JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,5
27JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
29JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
30JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
31JAN2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
06FEB2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
07FEB2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,2
09FEB2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,2
10FEB2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
12FEB2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,2
15FEB2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,8
17FEB2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,2
21FEB2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,3
26FEB2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,3
27FEB2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,2
28FEB2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,5
01MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
04MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
05MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
06MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,1
07MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,2
08MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,QC,Consumer Postpaid,N/A,N/A,1
08MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,2
10MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,4
11MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,ON,Consumer Postpaid,N/A,N/A,2
11MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,3
12MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,7
13MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,8
14MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,4
15MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,4
16MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,8
18MAR2024,Atlantic,ATL Echat,Mobility Gross Sales,Online,Echat,Nordia - Moncton,West,Consumer Postpaid,N/A,N/A,8
