PERIOD_DT,COMPANY,LOB,METRIC,CHANNEL,SUB_CHANNEL,DTL_CHANNEL,REGION,LOB_SEGMENT,LOB_SUB_SEGMENT,TYPE,VOLUME
01JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
03JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
04JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,3
05JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
07JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,QC,Consumer Postpaid,N/A,N/A,1
07JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
10JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,2
11JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
12JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
16JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
22JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
24JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
25JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,2
26JAN2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
01FEB2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
02FEB2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
05FEB2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
06FEB2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,2
11FEB2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
17FEB2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
23FEB2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
24FEB2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
26FEB2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,2
28FEB2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,2
01MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
02MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
03MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,4
04MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,2
10MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,2
11MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,6
13MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,2
16MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
17MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,2
20MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,2
22MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,3
23MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
24MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
26MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
27MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
28MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,ON,Consumer Postpaid,N/A,N/A,1
28MAR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
01APR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
02APR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
03APR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,4
04APR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
06APR2024,Bell,MTS Echat,Mobility Gross Sales,Online,Echat,Sitel - Chennai,West,Consumer Postpaid,N/A,N/A,1
