PERIOD_DT,COMPANY,LOB,METRIC,CHANNEL,SUB_CHANNEL,DTL_CHANNEL,REGION,LOB_SEGMENT,LOB_SUB_SEGMENT,TYPE,VOLUME
01JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,2
01JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,4
02JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,,ON,Small,N/A,N/A,2
02JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,1
03JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,6
04JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,2
04JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,1
05JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,2
08JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,1
08JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,2
08JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,0
10JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,2
10JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,4
10JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,0
11JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,8
11JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,1
12JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,1
12JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,1
15JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,,ON,Small,N/A,N/A,3
15JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,6
15JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,1
15JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,2
16JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,13
17JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,2
17JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,1
18JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,5
19JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,4
22JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,,ON,Small,N/A,N/A,1
22JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,2
24JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,,ON,Small,N/A,N/A,4
24JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,2
24JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,7
25JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,7
25JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,1
26JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,1
26JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,1
29JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,3
30JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,2
30JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,3
31JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,,QC,Small,N/A,N/A,2
31JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,2
31JAN2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,1
01FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,4
01FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,5
01FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,7
02FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,4
02FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,10
02FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,1
05FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,,ON,Small,N/A,N/A,1
05FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,,QC,Small,N/A,N/A,1
05FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,1
05FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,1
06FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,,ON,Small,N/A,N/A,1
07FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,7
07FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,1
08FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,1
08FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,46
09FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,,ON,Small,N/A,N/A,1
09FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,2
12FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,,ON,Small,N/A,N/A,2
12FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,1
12FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,5
13FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,14
13FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,2
14FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,5
14FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,6
15FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,9
15FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,9
16FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,,QC,Small,N/A,N/A,1
16FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,5
16FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,2
20FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,1
20FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,1
21FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,3
22FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,2
23FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,1
23FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,2
26FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,,ON,Small,N/A,N/A,1
26FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,2
27FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,QC,Small,N/A,N/A,2
27FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,1
28FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,14
29FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,ON,Small,N/A,N/A,10
29FEB2024,Bell,SB Echat,Mobility Gross Sales,Online,Echat,Nordia - Montreal,West,Small,N/A,N/A,1
